coral_number,first_seen_year,years_since,display_year,opacity_pct,fade_label,length,width,height,died_this_year,volume_cm3,status
LTER1_BR_T01_Poc_2.71_40_17,2013,3,2016,50,Year +3,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.71_40_17,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.71_40_17,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.75_1_50,2020,0,2020,100,Year +0,12,12,12,0,904.7786842338604,Recruited
LTER1_BR_T01_Poc_2.75_1_50,2020,1,2021,83,Year +1,4.8,3.6,3.6,0,33.510321638291124,Surviving
LTER1_BR_T01_Poc_2.75_1_50,2020,2,2022,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.75_1_50,2020,3,2023,50,Year +3,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.75_1_50,2020,4,2024,33,Year +4,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Poc_2.75_90_20,2018,0,2018,100,Year +0,1,1.5,0.5,0,0.5235987755982988,Recruited
LTER1_BR_T01_Poc_2.75_90_20,2018,1,2019,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.75_90_20,2018,2,2020,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.75_90_20,2018,3,2021,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.75_90_20,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.75_90_20,2018,5,2023,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.87_30_20,2024,0,2024,100,Year +0,1.7,1.7,1.6,0,2.4240684055476804,Recruited
LTER1_BR_T01_Poc_2.95_6_25,2013,0,2013,100,Year +0,1.6,1.1,1.2,0,1.1503465099894623,Recruited
LTER1_BR_T01_Poc_2.95_6_25,2013,1,2014,83,Year +1,2.7,2.3,2.4,0,7.858325564557225,Surviving
LTER1_BR_T01_Poc_2.95_6_25,2013,2,2015,67,Year +2,2.9,0.5,2.1,0,3.226435047783961,Surviving
LTER1_BR_T01_Poc_2.95_6_25,2013,3,2016,50,Year +3,3.6,1.9,2.7,0,10.6924299890401,Surviving
LTER1_BR_T01_Poc_2.95_6_25,2013,4,2017,33,Year +4,5,3,1.8,0,18.25211032603386,Surviving
LTER1_BR_T01_Poc_2.95_6_25,2013,5,2018,17,Year +5,3,2.5,3,0,11.909448076455751,Surviving
LTER1_BR_T01_Poc_2.99_77_14,2013,0,2013,100,Year +0,2.5,2.1,2.2,0,6.097637415145344,Recruited
LTER1_BR_T01_Poc_2.99_77_14,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_2.99_77_14,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.99_77_14,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.99_77_14,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_2.99_77_14,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_3.02_43_60,2014,0,2014,100,Year +0,1.7,1.1,1.2,0,1.2411230236404116,Recruited
LTER1_BR_T01_Poc_3.02_43_60,2014,1,2015,83,Year +1,2.2,1.3,2,0,3.226435047783961,Surviving
